Size, Seq, Par, Libc
500000, 0.372110, 1.582088, 0.372506
1000, 0.000424, 0.435604, 0.000618
350000, 0.259845, 1.259742, 0.252603
100000, 0.066679, 2.150416, 0.065419
10000, 0.005264, 0.831326, 0.005429
100000, 0.065403, 1.073100, 0.065774
100, 0.000031, 0.133405, 0.000043
100000, 0.065618, 1.413497, 0.065525
500000, 0.374120, 2.208388, 0.370632
10000, 0.005393, 1.218698, 0.005442
500000, 0.370226, 0.666498, 0.373096
350000, 0.252045, 1.890140, 0.252444
1000, 0.000433, 0.398232, 0.000603
10000, 0.005479, 1.147653, 0.005432
350000, 0.256987, 1.260427, 0.255029
350000, 0.255233, 1.961456, 0.254408
100, 0.000031, 0.146085, 0.000042
1000, 0.000426, 0.242726, 0.000604
350000, 0.250993, 1.286639, 0.252125
100000, 0.066376, 1.917831, 0.065529
500000, 0.360847, 0.699616, 0.372278
100000, 0.065477, 2.053101, 0.065410
350000, 0.251883, 1.580810, 0.254319
100, 0.000031, 0.054615, 0.000044
1000, 0.000417, 0.450731, 0.000610
1000, 0.000448, 0.475767, 0.000598
10000, 0.005431, 1.220974, 0.005404
1000, 0.000412, 0.512451, 0.000594
10000, 0.005354, 0.893577, 0.005874
350000, 0.241813, 0.777624, 0.254330
10000, 0.005544, 1.707937, 0.005438
1000, 0.000410, 0.456795, 0.000601
1000, 0.000416, 0.475753, 0.000585
100, 0.000033, 0.084849, 0.000041
10000, 0.005338, 1.419989, 0.005420
100000, 0.066768, 1.894480, 0.065590
100, 0.000031, 0.057939, 0.000044
350000, 0.258570, 0.787860, 0.252417
350000, 0.263130, 1.849842, 0.254373
500000, 0.368377, 2.286810, 0.371186
100, 0.000031, 0.127630, 0.000043
500000, 0.385868, 1.685366, 0.371217
500000, 0.370788, 2.713564, 0.371012
100, 0.000031, 0.112987, 0.000043
100000, 0.066466, 0.539851, 0.065687
10000, 0.005420, 1.095375, 0.005403
10000, 0.005493, 1.212140, 0.005430
1000, 0.000409, 0.442367, 0.000591
1000, 0.000418, 0.519568, 0.000598
100, 0.000031, 0.091253, 0.000043
100, 0.000032, 0.124771, 0.000044
100000, 0.066210, 2.028964, 0.065517
100000, 0.067314, 2.121649, 0.065543
500000, 0.375854, 0.959519, 0.371019
350000, 0.253786, 1.891095, 0.254271
500000, 0.370283, 2.410600, 0.370930
10000, 0.005333, 0.891137, 0.005416
100000, 0.066368, 1.007665, 0.065462
100, 0.000032, 0.121211, 0.000044
, 0.792435, 1.154334, 0.779392
