Size, Seq, Par, Libc
100, 0.000022, 0.120883, 0.000036
100, 0.000019, 0.120564, 0.000036
100, 0.000019, 0.128321, 0.000040
100, 0.000022, 0.119822, 0.000033
100, 0.000019, 0.105994, 0.000036
100, 0.000018, 0.113663, 0.000036
100, 0.000019, 0.094849, 0.000035
100, 0.000019, 0.101404, 0.000036
100, 0.000020, 0.078399, 0.000035
100, 0.000019, 0.075950, 0.000034
1000, 0.000226, 0.483170, 0.000471
1000, 0.000228, 0.500147, 0.000470
1000, 0.000221, 0.481462, 0.000472
1000, 0.000223, 0.393031, 0.000482
1000, 0.000227, 0.348943, 0.000481
1000, 0.000228, 0.368737, 0.000476
1000, 0.000225, 0.364144, 0.000469
1000, 0.000228, 0.186792, 0.000471
1000, 0.000231, 0.210331, 0.000465
1000, 0.000228, 0.223951, 0.000483
10000, 0.002683, 0.858771, 0.003679
10000, 0.002632, 0.888707, 0.003657
10000, 0.002670, 0.793035, 0.003682
10000, 0.002597, 0.742618, 0.003661
10000, 0.002626, 0.680086, 0.003332
10000, 0.002401, 0.685868, 0.003696
10000, 0.002631, 0.747449, 0.003311
10000, 0.002353, 0.863095, 0.003690
10000, 0.002617, 0.797361, 0.003299
10000, 0.002225, 0.735736, 0.003676
1000000, 0.295549, 1.242780, 0.445160
1000000, 0.305872, 1.219246, 0.453534
1000000, 0.298861, 1.166646, 0.445662
1000000, 0.297665, 0.927860, 0.464909
1000000, 0.346241, 1.041511, 0.465052
1000000, 0.327124, 1.217022, 0.463420
1000000, 0.333062, 1.112002, 0.458738
1000000, 0.312024, 1.348218, 0.459909
1000000, 0.348389, 1.073872, 0.465561
1000000, 0.333925, 1.125090, 0.462950
3500000, 1.238216, 1.920036, 1.748784
3500000, 1.228819, 1.800621, 1.774187
3500000, 1.238206, 1.626092, 1.712008
3500000, 1.258639, 1.666959, 1.753265
3500000, 1.258711, 1.833025, 1.784823
3500000, 1.241684, 1.662928, 1.745118
3500000, 1.259570, 1.632824, 1.770897
3500000, 1.230467, 1.671078, 1.753384
3500000, 1.242024, 1.646656, 1.750250
3500000, 1.237272, 1.565317, 1.748562
5000000, 1.824250, 2.303335, 2.542285
5000000, 1.829691, 2.173383, 2.538837
5000000, 1.802709, 2.206166, 2.526544
5000000, 1.828145, 2.175478, 2.558794
5000000, 1.806307, 2.159009, 2.543335
5000000, 1.837077, 2.259664, 2.578597
5000000, 1.816647, 2.096423, 2.524027
5000000, 1.821268, 2.147147, 2.533639
5000000, 1.848821, 2.240232, 2.557378
5000000, 1.826516, 2.318271, 2.549202
